id,label,x,y,shape
47,P47,2.621185559267935,-2.3544576544355116,blob_b
48,P48,2.3464023705228416,-1.510198335988188,blob_b
49,P49,2.802385326750569,-1.441674448777229,blob_b
50,P50,3.157141823520333,-2.0384481637863705,blob_b
51,P51,2.5608530332017256,-1.6751929255009685,blob_b
52,P52,2.847056983632152,-1.5407841118263763,blob_b
53,P53,2.540845795163375,-2.834560366353709,blob_b
54,P54,3.431309745457313,-1.5977686911259088,blob_b
55,P55,2.0092403565543844,-2.2224911773368423,blob_b
56,P56,3.0809101818607947,-2.166714355929169,blob_b
57,P57,2.3206507934443286,-1.6196168388842684,blob_b
58,P58,2.4277367480867023,-1.6475713504622735,blob_b
59,P59,2.775729667126194,-1.4994056477262603,blob_b
60,P60,2.6654768171958123,-1.372724235778942,blob_b
61,P61,3.0265682573933725,-1.5156200440757688,blob_b
62,P62,2.9020586683729745,-2.468671264688215,blob_b
63,P63,2.3943935682569104,-1.6804865799539592,blob_b
64,P64,2.494374690198219,-1.5272317149688241,blob_b
65,P65,2.5473998629882693,-1.9467946508150746,blob_b
66,P66,2.419455899634011,-1.5079867887462235,blob_b
67,P67,3.4324594830494775,2.088388027136843,crescent
68,P68,1.1476451623168333,2.0770098125244267,crescent
69,P69,1.5344038404261149,2.462023664227443,crescent
70,P70,1.3818468102658965,2.3259331708424513,crescent
71,P71,1.684696974106426,2.543772719530918,crescent
72,P72,1.53008227627089,2.4326312451266534,crescent
73,P73,1.4394390190601827,2.4070097043725758,crescent
74,P74,1.4401864106843552,2.310304512764517,crescent
75,P75,3.1083530498611815,2.4567566436875956,crescent
76,P76,1.7407013839460634,2.612383827444045,crescent
77,P77,2.948408807202228,2.5749609334695296,crescent
78,P78,2.845789680338707,2.5976812809872802,crescent
79,P79,3.325663876624402,2.174830143817317,crescent
80,P80,1.8887791492859747,2.4967764345862333,crescent
81,P81,1.7533886007503252,2.667996848131948,crescent
82,P82,1.2662073540882222,1.9848703184282857,crescent
83,P83,3.4967028402335414,2.252570063298573,crescent
84,P84,2.3827872016531026,2.667982843314283,crescent
85,P85,1.3550521257568953,2.3935825871421197,crescent
86,P86,2.07196047233092,2.7571136364061064,crescent
87,P87,-3.9548331624813584,2.146700052929068,ring
88,P88,-2.236257260185025,2.1395493536122583,ring
89,P89,-2.5899144986627287,1.5068821987420362,ring
90,P90,-2.7051752032842713,2.981039407688828,ring
91,P91,-2.2431981206643137,2.527905609011701,ring
92,P92,-3.8603817953679624,2.409670698889679,ring
93,P93,-3.4249539962188087,1.4370881628001428,ring
94,P94,-3.559578532456773,1.4875665805470928,ring
95,P95,-4.063479941323852,2.3737079373340357,ring
96,P96,-3.9212467788750454,2.1818561687740354,ring
97,P97,-3.5221446797144917,3.0639520827819045,ring
98,P98,-3.8325182408446583,1.9739663460813088,ring
99,P99,-2.5369217102931465,1.5657961209242899,ring
100,P100,-2.1826212392430255,2.702151436738827,ring
101,P101,-2.4721323758233056,2.5203637941178707,ring
102,P102,-3.0651368900560425,1.4137956702300296,ring
103,P103,-2.2880975376253563,1.8371967309358435,ring
104,P104,-2.3812714997471116,1.6725122091302818,ring
105,P105,-2.3288682968346777,2.707604815127509,ring
106,P106,-2.5460665676999215,2.861863083832615,ring
107,P107,1.745435019955039,-2.6481536482460797,noise
108,P108,-3.8118424005806446,-2.03169431257993,noise
109,P109,3.3630486764013767,1.2988702822476625,noise
110,P110,-0.4103223141282797,2.2124696765094995,noise
111,P111,-2.4241650383919477,1.9358329768292606,noise
112,P112,3.7515913788229227,-1.1475413362495601,noise
113,P113,1.2766903806477785,2.8652392853982747,noise
114,P114,2.539357364177704,-0.11357453092932701,noise
115,P115,-0.062136461958289146,-1.7923359861597419,noise
116,P116,2.2542853206396103,0.033833183348178864,noise
117,P117,0.8611370231956244,-0.9649463868699968,noise
118,P118,1.4814136512577534,-0.05092650046572089,noise
